epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.598,2.04313,1.95825,1.30078,0.41873,0.20412,0.21284,0.09356,2.46352,2.92503,1.3222,0.0670423,0.000329544,0.000329544
2,662.621,1.9928,1.37793,1.28574,0.55895,0.1803,0.17617,0.0657,3.04381,26.4716,1.60319,0.0340357,0.000656282,0.000656282
3,971.407,1.96774,1.33326,1.27658,0.24156,0.09466,0.06756,0.02748,3.27965,5.4859,1.67121,0.0010258,0.000979756,0.000979756
4,1281.25,1.84741,1.19714,1.21534,0.66498,0.38377,0.40662,0.14762,2.5515,2.6748,1.29747,0.000975311,0.000975311,0.000975311
5,1590.59,1.78335,1.1269,1.19877,0.54695,0.3284,0.33627,0.13449,2.47064,2.56555,1.3087,0.000970414,0.000970414,0.000970414
6,1900.03,1.71331,1.0635,1.18575,0.71116,0.4765,0.53793,0.22195,2.23845,2.03007,1.19666,0.000965518,0.000965518,0.000965518
7,2209.96,1.66537,1.0061,1.16552,0.80982,0.3593,0.37777,0.17648,2.2498,24.7786,1.22332,0.000960621,0.000960621,0.000960621
8,2519.84,1.62422,0.96564,1.13603,0.76116,0.51918,0.55536,0.22358,2.35702,2.21659,1.20049,0.000955725,0.000955725,0.000955725
9,2829.74,1.6242,0.95204,1.1426,0.70628,0.46619,0.49925,0.20114,2.40603,2.28812,1.2111,0.000950828,0.000950828,0.000950828
10,3138.62,1.57796,0.92625,1.11682,0.78101,0.51964,0.59257,0.27007,2.04897,2.07601,1.17274,0.000945932,0.000945932,0.000945932
11,3447.91,1.56219,0.89556,1.11588,0.80176,0.52479,0.58375,0.24912,2.20678,2.18308,1.17058,0.000941035,0.000941035,0.000941035
12,3757.77,1.52715,0.8677,1.09918,0.75975,0.54604,0.61058,0.26381,2.11402,2.06151,1.17299,0.000936139,0.000936139,0.000936139
13,4067.45,1.52187,0.85611,1.08913,0.73463,0.55699,0.61338,0.27403,2.06115,1.95605,1.16228,0.000931242,0.000931242,0.000931242
14,4376.82,1.49591,0.83681,1.08715,0.83061,0.60013,0.66719,0.30911,2.02965,1.85714,1.13747,0.000926346,0.000926346,0.000926346
15,4686.83,1.49528,0.82723,1.08964,0.79329,0.60399,0.66583,0.30279,2.04727,1.82289,1.15305,0.000921449,0.000921449,0.000921449
16,4996.38,1.48244,0.82798,1.08414,0.81568,0.57566,0.63459,0.2916,2.05848,2.08909,1.15228,0.000916553,0.000916553,0.000916553
17,5305,1.46656,0.80896,1.08432,0.85873,0.61623,0.66841,0.31147,2.01916,1.97336,1.13104,0.000911656,0.000911656,0.000911656
18,5613.66,1.43187,0.77363,1.07176,0.83779,0.61494,0.67967,0.31521,2.00357,1.81115,1.12225,0.00090676,0.00090676,0.00090676
19,5922.32,1.43122,0.77374,1.06828,0.79946,0.6027,0.67146,0.31317,2.00072,1.81855,1.13612,0.000901863,0.000901863,0.000901863
20,6230.78,1.41314,0.76981,1.05812,0.85977,0.61494,0.67732,0.32588,1.99046,1.89675,1.12806,0.000896967,0.000896967,0.000896967
21,6539.98,1.40545,0.75714,1.06093,0.85483,0.62524,0.67934,0.31692,2.02524,1.91689,1.14667,0.00089207,0.00089207,0.00089207
22,6848.31,1.40048,0.74354,1.05422,0.86384,0.60592,0.67985,0.31534,1.9731,1.89731,1.11743,0.000887174,0.000887174,0.000887174
23,7156.8,1.39674,0.74893,1.05013,0.85719,0.63,0.68525,0.31575,1.97354,1.93719,1.12619,0.000882277,0.000882277,0.000882277
24,7465.06,1.36082,0.71906,1.04502,0.86209,0.61687,0.68857,0.32118,1.96418,1.85748,1.10768,0.000877381,0.000877381,0.000877381
25,7773.38,1.37833,0.72396,1.04968,0.85221,0.62202,0.68654,0.33144,1.92595,1.87422,1.10564,0.000872484,0.000872484,0.000872484
26,8082.5,1.35956,0.71324,1.04637,0.84117,0.62408,0.6864,0.32522,1.96386,1.86077,1.12269,0.000867588,0.000867588,0.000867588
27,8390.89,1.34414,0.71555,1.03873,0.84661,0.63683,0.69182,0.33,1.9526,1.83199,1.11943,0.000862691,0.000862691,0.000862691
28,8699.48,1.33853,0.71204,1.03593,0.84352,0.63104,0.69211,0.33422,1.94394,1.82152,1.11434,0.000857795,0.000857795,0.000857795
29,9008.42,1.32133,0.69829,1.02734,0.84492,0.62524,0.68737,0.32372,1.97061,1.88752,1.12396,0.000852898,0.000852898,0.000852898
30,9316.58,1.32489,0.68808,1.03212,0.89111,0.62267,0.70271,0.33239,1.9465,1.82307,1.12252,0.000848002,0.000848002,0.000848002
31,9624.83,1.33254,0.70358,1.03172,0.84796,0.6407,0.6981,0.3312,1.92456,1.82134,1.11056,0.000843105,0.000843105,0.000843105
32,9933.08,1.3182,0.67424,1.03163,0.83198,0.65043,0.7012,0.33294,1.91725,1.81771,1.09732,0.000838209,0.000838209,0.000838209
33,10241.8,1.31326,0.68723,1.02305,0.83983,0.65486,0.70685,0.33509,1.92636,1.76933,1.10281,0.000833312,0.000833312,0.000833312
34,10550.6,1.30669,0.67245,1.02056,0.86548,0.62558,0.7021,0.33332,1.93562,1.79045,1.10588,0.000828416,0.000828416,0.000828416
35,10859.4,1.30102,0.66659,1.0226,0.84474,0.6407,0.70193,0.3368,1.92135,1.80347,1.10532,0.000823519,0.000823519,0.000823519
36,11168.4,1.27002,0.65038,1.0077,0.83028,0.64576,0.69978,0.3366,1.92191,1.82328,1.10766,0.000818623,0.000818623,0.000818623
37,11477.1,1.2725,0.6502,1.01512,0.83212,0.6452,0.69463,0.33496,1.91538,1.82771,1.10633,0.000813726,0.000813726,0.000813726
38,11785.4,1.2812,0.66039,1.01294,0.83313,0.63876,0.69308,0.33568,1.91344,1.82222,1.10599,0.00080883,0.00080883,0.00080883
39,12094.1,1.26078,0.63486,1.00518,0.83588,0.63748,0.69642,0.33799,1.90086,1.80519,1.10107,0.000803933,0.000803933,0.000803933
40,12403.1,1.26384,0.64938,1.00342,0.84192,0.63683,0.69616,0.33794,1.90175,1.77857,1.09974,0.000799037,0.000799037,0.000799037
41,12711.5,1.25073,0.63262,1.00845,0.84031,0.64041,0.69434,0.33606,1.91372,1.77526,1.10297,0.00079414,0.00079414,0.00079414
42,13019.9,1.23762,0.63411,1.00254,0.84166,0.63812,0.69521,0.33665,1.9101,1.77822,1.10448,0.000789244,0.000789244,0.000789244
43,13328.3,1.24302,0.62418,1.00491,0.85461,0.63587,0.69749,0.34095,1.90651,1.77729,1.10629,0.000784347,0.000784347,0.000784347
44,13637,1.2298,0.61843,1.00287,0.86733,0.63142,0.70101,0.34159,1.90355,1.77254,1.10491,0.000779451,0.000779451,0.000779451
45,13946,1.23466,0.62105,0.9952,0.87022,0.63472,0.70127,0.34157,1.91002,1.77032,1.10575,0.000774554,0.000774554,0.000774554
46,14254.3,1.21654,0.61409,0.99138,0.87778,0.63818,0.70457,0.34198,1.91012,1.77471,1.10503,0.000769658,0.000769658,0.000769658
47,14563.6,1.22372,0.62687,0.99231,0.88797,0.63794,0.7052,0.34226,1.91291,1.76576,1.10544,0.000764761,0.000764761,0.000764761
